"id","engineManufacturerId","name","fullName","capacity","configuration","aspiration"
"honda-ra807e-24-v8","honda","RA807E","Honda RA807E 2.4 V8",2.4,"V8","NATURALLY_ASPIRATED"
"honda-ra808e-24-v8","honda","RA808E","Honda RA808E 2.4 V8",2.4,"V8","NATURALLY_ASPIRATED"
"honda-rbpt-rbpth001-16-v6-t-h","honda-rbpt","RBPTH001","Honda RBPTH001 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"honda-rbpt-rbpth002-16-v6-t-h","honda-rbpt","RBPTH002","Honda RBPTH002 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"ilmor-2175a-35-v10","ilmor","2175A","Ilmor 2175A 3.5 V10",3.5,"V10","NATURALLY_ASPIRATED"
"jaguar-xk-34-l6","jaguar","XK","Jaguar XK 3.4 L6",3.4,"L6","NATURALLY_ASPIRATED"
"jap-11-v2","jap","JAP","JAP 1.1 V2",1.1,"V2","NATURALLY_ASPIRATED"
"judd-cv-35-v8","judd","CV","Judd CV 3.5 V8",3.5,"V8","NATURALLY_ASPIRATED"
"judd-ev-35-v8","judd","EV","Judd EV 3.5 V8",3.5,"V8","NATURALLY_ASPIRATED"
"judd-gv-35-v10","judd","GV","Judd GV 3.5 V10",3.5,"V10","NATURALLY_ASPIRATED"
"kuchen-20-v8","kuchen","Küchen","Küchen 2.0 V8",2.0,"V8","NATURALLY_ASPIRATED"
"lamborghini-3512-35-v12","lamborghini","3512","Lamborghini 3512 3.5 V12",3.5,"V12","NATURALLY_ASPIRATED"
"lancia-ds50-25-v8","lancia","DS50","Lancia DS50 2.5 V8",2.5,"V8","NATURALLY_ASPIRATED"
"lea-francis-20-l4","lea-francis","Lea Francis","Lea Francis 2.0 L4",2.0,"L4","NATURALLY_ASPIRATED"
"life-f35-35-w12","life","F35","Life F35 3.5 W12",3.5,"W12","NATURALLY_ASPIRATED"
"maserati-10-f1-30-v12","maserati","10/F1","Maserati 10/F1 3.0 V12",3.0,"V12","NATURALLY_ASPIRATED"
"maserati-250f1-25-l6","maserati","250F1","Maserati 250F1 2.5 L6",2.5,"L6","NATURALLY_ASPIRATED"
"maserati-250f1-25-v12","maserati","250F1","Maserati 250F1 2.5 V12",2.5,"V12","NATURALLY_ASPIRATED"
"maserati-250s-25-l4","maserati","250S","Maserati 250S 2.5 L4",2.5,"L4","NATURALLY_ASPIRATED"
"maserati-4cl-15-l4-s","maserati","4CL","Maserati 4CL 1.5 L4 S",1.5,"L4","SUPERCHARGED"
"maserati-4clt-15-l4-s","maserati","4CLT","Maserati 4CLT 1.5 L4 S",1.5,"L4","SUPERCHARGED"
"maserati-4clt-25-l4","maserati","4CLT","Maserati 4CLT 2.5 L4",2.5,"L4","NATURALLY_ASPIRATED"
"maserati-6-1500-15-l4","maserati","6-1500","Maserati 6-1500 1.5 L4",1.5,"L4","NATURALLY_ASPIRATED"
"maserati-9-f1-30-v12","maserati","9/F1","Maserati 9/F1 3.0 V12",3.0,"V12","NATURALLY_ASPIRATED"
"maserati-a6-20-l6","maserati","A6","Maserati A6 2.0 L6",2.0,"L6","NATURALLY_ASPIRATED"
"maserati-tipo-6-15-l4","maserati","Tipo 6","Maserati Tipo 6 1.5 L4",1.5,"L4","NATURALLY_ASPIRATED"
"matra-ms12-30-v12","matra","MS12","Matra MS12 3.0 V12",3.0,"V12","NATURALLY_ASPIRATED"
"matra-ms71-30-v12","matra","MS71","Matra MS71 3.0 V12",3.0,"V12","NATURALLY_ASPIRATED"
"matra-ms72-30-v12","matra","MS72","Matra MS72 3.0 V12",3.0,"V12","NATURALLY_ASPIRATED"
"matra-ms73-30-v12","matra","MS73","Matra MS73 3.0 V12",3.0,"V12","NATURALLY_ASPIRATED"
"matra-ms76-30-v12","matra","MS76","Matra MS76 3.0 V12",3.0,"V12","NATURALLY_ASPIRATED"
"matra-ms78-30-v12","matra","MS78","Matra MS78 3.0 V12",3.0,"V12","NATURALLY_ASPIRATED"
"matra-ms81-30-v12","matra","MS81","Matra MS81 3.0 V12",3.0,"V12","NATURALLY_ASPIRATED"
"matra-ms9-30-v12","matra","MS9","Matra MS9 3.0 V12",3.0,"V12","NATURALLY_ASPIRATED"
"mecachrome-gc37-01-30-v10","mecachrome","GC37-01","Mecachrome GC37-01 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"megatron-m12-13-15-l4-t","megatron","M12/13","Megatron M12/13 1.5 L4 T",1.5,"L4","TURBOCHARGED"
"mercedes-amg-f1-m11-16-v6-t-h","mercedes","AMG F1 M11","Mercedes-AMG F1 M11 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"mercedes-amg-f1-m12-16-v6-t-h","mercedes","AMG F1 M12","Mercedes-AMG F1 M12 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"mercedes-amg-f1-m13-16-v6-t-h","mercedes","AMG F1 M13","Mercedes-AMG F1 M13 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"mercedes-amg-f1-m14-16-v6-t-h","mercedes","AMG F1 M14","Mercedes-AMG F1 M14 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"mercedes-amg-f1-m15-16-v6-t-h","mercedes","AMG F1 M15","Mercedes-AMG F1 M15 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"mercedes-benz-2175b-35-v10","mercedes","2175B","Mercedes-Benz 2175B 3.5 V10",3.5,"V10","NATURALLY_ASPIRATED"
"mercedes-fo-108f-24-v8","mercedes","FO 108F","Mercedes FO 108F 2.4 V8",2.4,"V8","NATURALLY_ASPIRATED"
"mercedes-fo-108s-24-v8","mercedes","FO 108S","Mercedes FO 108S 2.4 V8",2.4,"V8","NATURALLY_ASPIRATED"
"mercedes-fo-108t-24-v8","mercedes","FO 108T","Mercedes FO 108T 2.4 V8",2.4,"V8","NATURALLY_ASPIRATED"
"mercedes-fo-108v-24-v8","mercedes","FO 108V","Mercedes FO 108V 2.4 V8",2.4,"V8","NATURALLY_ASPIRATED"
"mercedes-fo-108w-24-v8","mercedes","FO 108W","Mercedes FO 108W 2.4 V8",2.4,"V8","NATURALLY_ASPIRATED"
"mercedes-fo-108x-24-v8","mercedes","FO 108X","Mercedes FO 108X 2.4 V8",2.4,"V8","NATURALLY_ASPIRATED"
"mercedes-fo-108y-24-v8","mercedes","FO 108Y","Mercedes FO 108Y 2.4 V8",2.4,"V8","NATURALLY_ASPIRATED"
"mercedes-fo-108z-24-v8","mercedes","FO 108Z","Mercedes FO 108Z 2.4 V8",2.4,"V8","NATURALLY_ASPIRATED"
"mercedes-fo-110-3-30-v10","mercedes","FO 110/3","Mercedes FO 110/3 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mercedes-fo-110-30-v10","mercedes","FO 110","Mercedes FO 110 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mercedes-fo-110e-30-v10","mercedes","FO 110E","Mercedes FO 110E 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mercedes-fo-110f-30-v10","mercedes","FO 110F","Mercedes FO 110F 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mercedes-fo-110g-30-v10","mercedes","FO 110G","Mercedes FO 110G 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mercedes-fo-110h-30-v10","mercedes","FO 110H","Mercedes FO 110H 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mercedes-fo-110j-30-v10","mercedes","FO 110J","Mercedes FO 110J 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mercedes-fo-110k-30-v10","mercedes","FO 110K","Mercedes FO 110K 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mercedes-fo-110m-30-v10","mercedes","FO 110M","Mercedes FO 110M 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mercedes-fo-110p-30-v10","mercedes","FO 110P","Mercedes FO 110P 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mercedes-fo-110q-30-v10","mercedes","FO 110Q","Mercedes FO 110Q 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mercedes-fo-110r-30-v10","mercedes","FO 110R","Mercedes FO 110R 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mercedes-m08-16-v6-t-h","mercedes","M08","Mercedes M08 EQ Power+ 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"mercedes-m09-16-v6-t-h","mercedes","M09","Mercedes M09 EQ Power+ 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"mercedes-m10-16-v6-t-h","mercedes","M10","Mercedes M10 EQ Power+ 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"mercedes-m196-25-l8","mercedes","M196","Mercedes M196 2.5 L8",2.5,"L8","NATURALLY_ASPIRATED"
"mercedes-pu106a-16-v6-t-h","mercedes","PU106A","Mercedes PU106A Hybrid 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"mercedes-pu106b-16-v6-t-h","mercedes","PU106B","Mercedes PU106B Hybrid 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"mercedes-pu106c-16-v6-t-h","mercedes","PU106C","Mercedes PU106C Hybrid 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"milano-15-l4-s","milano","Milano","Milano 1.5 L4 S",1.5,"L4","SUPERCHARGED"
"motori-moderni-tipo-615-90-15-v6-t","motori-moderni","Tipo 615-90","Motori Moderni Tipo 615-90 1.5 V6 T",1.5,"V6","TURBOCHARGED"
"mugen-honda-mf-301-30-v10","mugen-honda","MF-301","Mugen-Honda MF-301 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mugen-honda-mf-301ha-30-v10","mugen-honda","MF-301HA","Mugen-Honda MF-301HA 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mugen-honda-mf-301hb-30-v10","mugen-honda","MF-301HB","Mugen-Honda MF-301HB 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mugen-honda-mf-301hc-30-v10","mugen-honda","MF-301HC","Mugen-Honda MF-301HC 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mugen-honda-mf-301hd-30-v10","mugen-honda","MF-301HD","Mugen-Honda MF-301HD 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mugen-honda-mf-301he-30-v10","mugen-honda","MF-301HE","Mugen-Honda MF-301HE 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"mugen-honda-mf-351h-35-v10","mugen-honda","MF-351H","Mugen-Honda MF-351H 3.5 V10",3.5,"V10","NATURALLY_ASPIRATED"
"mugen-honda-mf-351hb-35-v10","mugen-honda","MF-351HB","Mugen-Honda MF-351HB 3.5 V10",3.5,"V10","NATURALLY_ASPIRATED"
"mugen-honda-mf-351hc-35-v10","mugen-honda","MF-351HC","Mugen-Honda MF-351HC 3.5 V10",3.5,"V10","NATURALLY_ASPIRATED"
"mugen-honda-mf-351hd-35-v10","mugen-honda","MF-351HD","Mugen-Honda MF-351HD 3.5 V10",3.5,"V10","NATURALLY_ASPIRATED"
"novi-30-l8-s","novi","Novi","Novi 3.0 L8 S",3.0,"L8","SUPERCHARGED"
"offenhauser-17-l4","offenhauser","Offenhauser","Offenhauser 1.7 L4",1.7,"L4","NATURALLY_ASPIRATED"
"offenhauser-30-l4-s","offenhauser","Offenhauser","Offenhauser 3.0 L4 S",3.0,"L4","SUPERCHARGED"
"offenhauser-45-l4","offenhauser","Offenhauser","Offenhauser 4.5 L4",4.5,"L4","NATURALLY_ASPIRATED"
"osca-20-l4","osca","OSCA","OSCA 2.0 L4",2.0,"L4","NATURALLY_ASPIRATED"
"osca-2000-20-l6","osca","2000","OSCA 2000 2.0 L6",2.0,"L6","NATURALLY_ASPIRATED"
"osca-372-15-l4","osca","372","OSCA 372 1.5 L4",1.5,"L4","NATURALLY_ASPIRATED"
"osca-4500-45-v12","osca","4500","OSCA 4500 4.5 V12",4.5,"V12","NATURALLY_ASPIRATED"
"osella-890t-15-v8-t","osella","890T","Osella 890T 1.5 V8 T",1.5,"V8","TURBOCHARGED"
"petronas-01a-30-v10","petronas","01A","Petronas 01A 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"petronas-02a-30-v10","petronas","02A","Petronas 02A 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"petronas-03a-30-v10","petronas","03A","Petronas 03A 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"petronas-04a-30-v10","petronas","04A","Petronas 04A 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"petronas-05a-30-v10","petronas","05A","Petronas 05A 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"petronas-spe-01-30-v10","petronas","SPE-01","Petronas SPE-01 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"petronas-spe-01d-30-v10","petronas","SPE-01D","Petronas SPE-01D 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"petronas-spe-03a-30-v10","petronas","SPE-03A","Petronas SPE-03A 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"petronas-spe-04a-30-v10","petronas","SPE-04A","Petronas SPE-04A 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"peugeot-a10-30-v10","peugeot","A10","Peugeot A10 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"peugeot-a12-ev5-30-v10","peugeot","A12 EV5","Peugeot A12 EV5 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"peugeot-a14-30-v10","peugeot","A14","Peugeot A14 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"peugeot-a16-30-v10","peugeot","A16","Peugeot A16 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"peugeot-a18-30-v10","peugeot","A18","Peugeot A18 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"peugeot-a20-30-v10","peugeot","A20","Peugeot A20 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"peugeot-a6-35-v10","peugeot","A6","Peugeot A6 3.5 V10",3.5,"V10","NATURALLY_ASPIRATED"
"plate-20-l4","plate","Platé","Platé 2.0 L4",2.0,"L4","NATURALLY_ASPIRATED"
"playlife-fb01-30-v10","playlife","FB01","Playlife FB01 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"playlife-fb02-30-v10","playlife","FB02","Playlife FB02 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"playlife-gc37-01-30-v10","playlife","GC37-01","Playlife GC37-01 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"porsche-3512-35-v12","porsche","3512","Porsche 3512 3.5 V12",3.5,"V12","NATURALLY_ASPIRATED"
"porsche-547-3-15-f4","porsche","547/3","Porsche 547/3 1.5 F4",1.5,"F4","NATURALLY_ASPIRATED"
"porsche-753-15-f8","porsche","753","Porsche 753 1.5 F8",1.5,"F8","NATURALLY_ASPIRATED"
"pratt-whitney-stn76-tbn","pratt-whitney","STN76","Pratt & Whitney STN76 tbn",,,
"rbpt-rbpth001-16-v6-t-h","rbpt","RBPTH001","Red Bull RBPTH001 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"renault-e-tech-19-16-v6-t-h","renault","E-Tech 19","Renault E-Tech 19 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"renault-e-tech-20-16-v6-t-h","renault","E-Tech 20","Renault E-Tech 20 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"renault-e-tech-20b-16-v6-t-h","renault","E-Tech 20B","Renault E-Tech 20B 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"renault-e-tech-re22-16-v6-t-h","renault","E-Tech RE22","Renault E-Tech RE22 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"renault-e-tech-re23-16-v6-t-h","renault","E-Tech RE23","Renault E-Tech RE23 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"renault-e-tech-re24-16-v6-t-h","renault","E-Tech RE24","Renault E-Tech RE24 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"renault-ef15-15-v6-t","renault","EF15","Renault EF15 1.5 V6 T",1.5,"V6","TURBOCHARGED"
"renault-ef15b-15-v6-t","renault","EF15B","Renault EF15B 1.5 V6 T",1.5,"V6","TURBOCHARGED"
"renault-ef4-15-v6-t","renault","EF4","Renault EF4 1.5 V6 T",1.5,"V6","TURBOCHARGED"
"renault-ef4b-15-v6-t","renault","EF4B","Renault EF4B 1.5 V6 T",1.5,"V6","TURBOCHARGED"
"renault-energy-f1-2014-16-v6-t-h","renault","Energy F1 2014","Renault Energy F1 2014 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"renault-energy-f1-2015-16-v6-t-h","renault","Energy F1 2015","Renault Energy F1 2015 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"renault-gordini-ef1-15-v6-t","renault","Gordini EF1","Renault-Gordini EF1 1.5 V6 T",1.5,"V6","TURBOCHARGED"
"renault-re16-16-v6-t-h","renault","R.E.16","Renault R.E.16 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"renault-re17-16-v6-t-h","renault","R.E.17","Renault R.E.17 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"renault-re18-16-v6-t-h","renault","R.E.18","Renault R.E.18 1.6 V6 T H",1.6,"V6","TURBOCHARGED_HYBRID"
"renault-rs1-35-v10","renault","RS1","Renault RS1 3.5 V10",3.5,"V10","NATURALLY_ASPIRATED"
"renault-rs2-35-v10","renault","RS2","Renault RS2 3.5 V10",3.5,"V10","NATURALLY_ASPIRATED"
"renault-rs21-30-v10","renault","RS21","Renault RS21 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"renault-rs22-30-v10","renault","RS22","Renault RS22 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"renault-rs23-30-v10","renault","RS23","Renault RS23 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"renault-rs24-30-v10","renault","RS24","Renault RS24 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"renault-rs25-30-v10","renault","RS25","Renault RS25 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
"renault-rs26-24-v8","renault","RS26","Renault RS26 2.4 V8",2.4,"V8","NATURALLY_ASPIRATED"
"renault-rs27-2010-24-v8","renault","RS27-2010","Renault RS27-2010 2.4 V8",2.4,"V8","NATURALLY_ASPIRATED"
"renault-rs27-2011-24-v8","renault","RS27-2011","Renault RS27-2011 2.4 V8",2.4,"V8","NATURALLY_ASPIRATED"
"renault-rs27-2012-24-v8","renault","RS27-2012","Renault RS27-2012 2.4 V8",2.4,"V8","NATURALLY_ASPIRATED"
"renault-rs27-2013-24-v8","renault","RS27-2013","Renault RS27-2013 2.4 V8",2.4,"V8","NATURALLY_ASPIRATED"
"renault-rs27-24-v8","renault","RS27","Renault RS27 2.4 V8",2.4,"V8","NATURALLY_ASPIRATED"
"renault-rs3-35-v10","renault","RS3","Renault RS3 3.5 V10",3.5,"V10","NATURALLY_ASPIRATED"
"renault-rs3c-35-v10","renault","RS3C","Renault RS3C 3.5 V10",3.5,"V10","NATURALLY_ASPIRATED"
"renault-rs4-35-v10","renault","RS4","Renault RS4 3.5 V10",3.5,"V10","NATURALLY_ASPIRATED"
"renault-rs5-35-v10","renault","RS5","Renault RS5 3.5 V10",3.5,"V10","NATURALLY_ASPIRATED"
"renault-rs6-35-v10","renault","RS6","Renault RS6 3.5 V10",3.5,"V10","NATURALLY_ASPIRATED"
"renault-rs7-30-v10","renault","RS7","Renault RS7 3.0 V10",3.0,"V10","NATURALLY_ASPIRATED"
